None,indicator_id,region_id,date,value
576,SSSM,845159,2022-08-31,272833.0
577,SSSM,845159,2022-07-31,260000.0
578,SSSM,845159,2022-06-30,265167.0
579,SSSM,845159,2022-05-31,260167.0
580,SSSM,845159,2022-04-30,281833.0
581,SSSM,845159,2022-03-31,280667.0
582,SSSM,845159,2022-02-28,302333.0
583,SSSM,845159,2022-01-31,278150.0
584,SSSM,845159,2021-12-31,266583.0
585,SSSM,845159,2021-11-30,256583.0
586,SSSM,845159,2021-10-31,254067.0
587,SSSM,845159,2021-09-30,269633.0
588,SSSM,845159,2021-08-31,266300.0
589,SSSM,845159,2021-07-31,264667.0
590,SSSM,845159,2021-06-30,256667.0
591,SSSM,845159,2021-05-31,226333.0
592,SSSM,845159,2021-04-30,232617.0
593,SSSM,845159,2021-03-31,207617.0
594,SSSM,845158,2023-08-31,219000.0
595,SSSM,845158,2023-07-31,217333.0
596,SSSM,845158,2023-06-30,210667.0
597,SSSM,845158,2023-05-31,198333.0
598,SSSM,845158,2023-04-30,191650.0
599,SSSM,845158,2023-03-31,181983.0
600,SSSM,845158,2023-02-28,180317.0
601,SSSM,845158,2023-01-31,177000.0
602,SSSM,845158,2022-12-31,179167.0
603,SSSM,845158,2022-11-30,182000.0
604,SSSM,845158,2022-10-31,185833.0
605,SSSM,845158,2022-09-30,191933.0
606,SSSM,845158,2022-08-31,203570.0
607,SSSM,845158,2022-07-31,209737.0
608,SSSM,845158,2022-06-30,205470.0
609,SSSM,845158,2022-05-31,190083.0
610,SSSM,845158,2022-04-30,176750.0
611,SSSM,845158,2022-03-31,170750.0
612,SSSM,845158,2022-02-28,173300.0
613,SSSM,845158,2022-01-31,174933.0
614,SSSM,845158,2021-12-31,176600.0
615,SSSM,845158,2021-11-30,174883.0
616,SSSM,845158,2021-10-31,174917.0
617,SSSM,845158,2021-09-30,178250.0
618,SSSM,845158,2021-08-31,182017.0
619,SSSM,845158,2021-07-31,183683.0
620,SSSM,845158,2021-06-30,180350.0
621,SSSM,845158,2021-05-31,170000.0
622,SSSM,845158,2021-04-30,159667.0
623,SSSM,845158,2021-03-31,154633.0
624,SSSM,845158,2021-02-28,157267.0
625,SSSM,845158,2021-01-31,160567.0
626,SSSM,845158,2020-12-31,162367.0
627,SSSM,845158,2020-11-30,162717.0
628,SSSM,845158,2020-10-31,167317.0
629,SSSM,845158,2020-09-30,167217.0
630,SSSM,845158,2020-08-31,167867.0
631,SSSM,845158,2020-07-31,164633.0
